id_player,id_nationality,nationality,nationality_url
239351,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
222183,155,China PR,https://images.ctfassets.net/rs6bgs1g8dbr/4YqLYRdvdRuNRMIYc4rXn3/68c63acd963960724937eb55114ac627/f_155.png
248011,39,Romania,https://images.ctfassets.net/rs6bgs1g8dbr/1YqdTsOkAAOwdGZpxh6GKc/9357385650c1ca68cbf97f6d6539f2d0/f_39.png
219482,42,Scotland,https://images.ctfassets.net/rs6bgs1g8dbr/7eFwNyL2kYdVCHj8wqEySc/26c7e6057100962e21ec2866af986f20/f_42.png
259915,95,United States,https://images.ctfassets.net/rs6bgs1g8dbr/5cf40Cv4RRYt6T3ArGJOR1/aec9f45e482b9e325eab179be6a66963/f_95.png
278020,58,Paraguay,https://images.ctfassets.net/rs6bgs1g8dbr/4B4Y3F8GBNIOWZzrDUplJQ/811ec9db5e2639fc451aa0bb73694cbb/f_58.png
277986,66,Barbados,https://images.ctfassets.net/rs6bgs1g8dbr/2aNpOxPi0j3XdYHusZScev/032947877aac52e8ab439679cbee8038/f_66.png
219796,45,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png
262005,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
212923,195,Australia,https://images.ctfassets.net/rs6bgs1g8dbr/1DUNR4ygnFYaycexVQIhI7/15aba36ba876956c8bc7529a36fc4fe6/f_195.png
257019,105,Central African Republic,https://images.ctfassets.net/rs6bgs1g8dbr/7pyljWqHmDaYdgzw1UWC36/052fc353e722604aa39734b2d62ab30f/f_105.png
259544,59,Peru,https://images.ctfassets.net/rs6bgs1g8dbr/463GhS42CJttzYnrsLTd6I/96a16d7b2a39daee385046aab1a2fca2/f_59.png
274080,45,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png
278949,45,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png
